RSSI Value,Current Wi-Fi-A,Current Wi-Fi-B,Current Wi-Fi-C,Before Wi-Fi-A,Before Wi-Fi-B,Before Wi-Fi-C,Stes Taken,GS Value x (meters),GS Value y (meters),position
-45,1,2,3,4,5,6,100,0,0,1
-50,2,1,3,7,8,9,120,15,30,1
-55,3,1,2,10,11,12,90,30,45,1
-42,1,3,2,13,14,15,110,45,60,1
-48,2,3,1,16,17,18,80,60,75,1
-50,4,5,6,19,20,21,130,100,50,2
-47,5,4,6,22,23,24,140,110,55,2
-53,6,5,4,25,26,27,150,120,60,2
-49,4,6,5,28,29,30,160,130,65,2
-45,5,6,4,31,32,33,170,140,70,2
-60,7,8,9,34,35,36,180,200,100,3
-58,8,7,9,37,38,39,190,210,110,3
-62,9,7,8,40,41,42,200,220,123,3
-55,7,9,8,43,44,45,210,230,130,3
-61,8,9,7,46,47,48,220,240,140,3
-40,10,11,12,49,50,51,230,300,150,4
-42,11,10,12,52,53,54,240,310,160,4
-38,12,11,10,55,56,57,250,320,170,4
-44,10,12,11,58,59,60,260,330,180,4
-41,11,10,12,61,62,63,270,340,190,4
-55,13,14,15,64,65,66,280,400,200,5
-53,14,13,15,67,68,69,290,410,210,5
-57,15,14,13,70,71,72,300,420,220,5
-52,13,15,14,73,74,75,310,430,230,5
-59,14,13,15,76,77,78,320,440,240,5
-47,16,17,18,79,80,81,330,500,250,6
-49,17,16,18,82,83,84,340,510,260,6
-51,18,17,16,85,86,87,350,520,270,6
-46,16,18,17,88,89,90,360,530,280,6
-48,17,16,18,91,92,93,370,540,290,6
-55,19,20,21,94,95,96,380,600,300,7
-53,20,19,21,97,98,99,390,610,310,7
-57,21,20,19,1,2,3,400,620,320,7
-52,19,21,20,4,5,6,410,630,330,7
-59,20,19,21,7,8,9,420,640,340,7
-50,22,23,24,10,11,12,430,700,350,8
-47,23,22,24,13,14,15,440,710,360,8
-53,24,23,22,16,17,18,450,720,370,8
-49,22,24,23,19,20,21,460,730,380,8
-45,23,24,22,22,23,24,470,740,390,8
-60,25,26,27,25,26,27,480,800,400,9
-58,26,25,27,28,29,30,490,810,410,9
-62,27,25,26,31,32,33,500,820,420,9
-55,25,27,26,34,35,36,510,830,430,9
-61,26,27,25,37,38,39,520,840,440,9
-40,28,29,30,40,41,42,530,900,450,10
-42,29,28,30,43,44,45,540,910,460,10
-38,30,29,28,46,47,48,550,920,470,10
-44,28,30,29,49,50,51,560,930,480,10
-41,29,28,30,52,53,54,570,940,490,10
-55,31,32,33,55,56,57,580,1000,500,11
-53,32,31,33,58,59,60,590,1010,510,11
-57,33,32,31,61,62,63,600,1020,520,11
-52,31,33,32,64,65,66,610,1030,530,11
-59,32,31,33,67,68,69,620,1040,540,11
-47,34,35,36,70,71,72,630,1100,550,12
-49,35,34,36,73,74,75,640,1110,560,12
-51,36,35,34,76,77,78,650,1120,570,12
-46,34,36,35,79,80,81,660,1130,580,12
-48,35,34,36,82,83,84,670,1140,590,12
-55,37,38,39,85,86,87,680,1200,600,13
-53,38,37,39,88,89,90,690,1210,610,13
-57,39,38,37,91,92,93,700,1220,620,13
-52,37,39,38,94,95,96,710,1230,630,13
-59,38,37,39,97,98,99,720,1240,640,13
-60,40,41,42,100,101,102,730,1300,650,14
-58,41,40,42,103,104,105,740,1310,660,14
-62,42,40,41,106,107,108,750,1320,670,14
-55,40,42,41,109,110,111,760,1330,680,14
-61,41,42,40,112,113,114,770,1340,690,14
-40,43,44,45,115,116,117,780,1400,700,15
-42,44,43,45,118,119,120,790,1410,710,15
-38,45,44,43,121,122,123,800,1420,720,15
-44,43,45,44,124,125,126,810,1430,730,15
-41,44,43,45,127,128,129,820,1440,740,15
-55,46,47,48,130,131,132,830,1500,750,16
-53,47,46,48,133,134,135,840,1510,760,16
-57,48,47,46,136,137,138,850,1520,770,16
-52,46,48,47,139,140,141,860,1530,780,16
-59,47,46,48,142,143,144,870,1540,790,16
-47,49,50,51,145,146,147,880,1600,800,17
-49,50,49,51,148,149,150,890,1610,810,17
-51,51,50,49,151,152,153,900,1620,820,17
-46,49,51,50,154,155,156,910,1630,830,17
-48,50,49,51,157,158,159,920,1640,840,17
-55,52,53,54,160,161,162,930,1700,850,18
-53,53,52,54,163,164,165,940,1710,860,18
-57,54,53,52,166,167,168,950,1720,870,18
-52,52,54,53,169,170,171,960,1730,880,18
-59,53,52,54,172,173,174,970,1740,890,18
-60,55,56,57,175,176,177,980,1800,900,19
-58,56,55,57,178,179,180,990,1810,910,19
-62,57,55,56,181,182,183,1000,1820,920,19
-55,55,57,56,184,185,186,1010,1830,930,19
-61,56,57,55,187,188,189,1020,1840,940,19
-59,55,56,58,176,177,178,970,1805,905,20
-57,56,57,58,179,180,181,980,1815,915,20
-60,57,56,59,182,183,184,990,1825,925,20
-54,55,57,58,185,186,187,1000,1835,935,20
-59,56,58,57,188,189,190,1010,1845,945,20
,,,,,,,,,,
"55, 56, 57, 176, 177, 178, 1000, 1800, 830, 430",,,,,,,,,,
55,56,57,176,177,178,1000,1800,830,430,
